packet_row_zero_based	candidate_id	selection_reasons	repetition_mode	base_surface	matched_surface_span	matched_hkcancor_pos	matched_ud_pos	matched_jyutping	second_token_form	second_token_hkcancor_pos	second_token_jyutping	has_local_predicate_candidate	predicate_distance_lexical_tokens	local_predicate_form	local_predicate_hkcancor_pos	local_predicate_ud_pos	local_predicate_jyutping	source_file	turn_index_zero_based	participant	text	previous_text	next_text	expert_classification	expert_subtype	confidence	reviewer_note	parser_implication
155	aa84br-f14805822a6b006f9c37	distributive	internally_repeated_token	件	件件	q	NOUN	gin6gin6				True	2	係	v	VERB	hai6	FC-R009_v.cha	77	XXB	就件件都係噉樣嘅.	搖滾.	係嘞.					
156	aa84br-da44f3d5f8bab0388318	all_adjacent_adjective_runtime_collisions	adjacent_identical_tokens	潔白	潔白潔白	a	ADJ	git3baak6	潔白	a	git3baak6	True	2	潔白	a	ADJ	git3baak6	FC-R009_v.cha	88	XXA	起碼我哋睇得到,聽得到嘅呢都係好,誒,潔白潔白好潔白嘅一個世界.	喺哩一個道德啊,紀律方面呢,令到呢即係香港嘅娛樂圈呢都係好乾淨嘅.	Yessir.					
157	aa84br-581d0f493000cfe1fc5e	sound_lexical	internally_repeated_token	du1	du1du1	o	X	du1du1				True	3	要	vu	AUX	jiu3	FC-R010a_v.cha	51	XXC	du1du1,佢立刻要覆啊.	我一call你呢,譬如佢收到個call機呢.	佢一日,即係一分鐘唔覆呢.					
158	aa84br-dcd1db71e7c1c14da4cf	capped_internal_verb_by_base_host;event	internally_repeated_token	諗	諗諗	v	VERB	nam2nam2				False						FC-R010b_v.cha	162	XXB	又要再諗諗下佢.	即係哩下呢又要變咗即係要商榷囖.	噉即係佢哋嗰邊呢,的確係提出噉樣.					
159	aa84br-cf968cfce1a9e2c1d881	kin_name	internally_repeated_token	婆	婆婆	n	NOUN	po4po1				False						FC-R011_v.cha	1	XXA	噉呢就有個,誒,阿嬸吖,喀,就都其實都應該叫婆婆𡃉嚹,就八十歲𡃉嚹.	有一單官司真係叫審死官啊.	噉就俾車撞到.					
160	aa84br-5520ea40ec40a5f46dfa	event;fixed_mode_pos_host_control	internally_repeated_token	等	等等	u	PART	dang2dang2				True	5	冇	v1	VERB	mou5	FC-R011_v.cha	87	XXB	即係佢話自己又有哩個特異功能啊,可以同靈界溝通啊,又幫人預測哩個運程啊,占卜啊,驅邪治鬼啊,趨吉避兇啊等等呢,噉𠻺佢冇計到自己會噉嘅咩?	即係如果你話佢,嗱,首先就第一即係當係,喀,聽故仔噉樣聽喇,喀.	係嘞計唔到.					
161	aa84br-7390d3180319b406a394	capped_internal_verb_by_base_host	internally_repeated_token	做	做做	v	VERB	zou6zou6				True	3	幼稚	a	ADJ	jau3zi6	FC-R013b_v.cha	248	XXB	即係我-我覺得做做下,越做越幼稚啊個人.	我覺得啲人係越來越幼稚.	因為你其實對住自己都係嗰班人呢,我哋成日話係啲老人精竇啊.					
162	aa84br-93ddcd0f56cdbd1af959	kin_name	internally_repeated_token	冰	冰冰	nr	PROPN	bing1bing1				False						FC-R016_v.cha	7	XXA	噉𠻺另外呢,即早前啲白冰冰嘅綁架案嘅事件呢.	嗯.	係啊.					
163	aa84br-f1e8e40b9e24bb8581f4	all_manner_property_anchors	internally_repeated_token	慢	慢慢	a	ADJ	maan6maan2				True	3	譬如	v	VERB	pei3jyu4	FC-R017_v.cha	163	XXA	噉𠻺慢慢呢,即係譬如話奉獻咗你,十多廿年嘅青春,做到去一個經理或者係一個主任譬如噉樣嘅位置裏邊.	即係譬如你加入一間公司,由一個小職員開始做起.	係.					
164	aa84br-dfc4a06204aec60064ac	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	3	有	v1	VERB	jau5	FC-R017_v.cha	252	XXB	我做得好好嘅,好有創意嘅.	我專注做一個可能,誒,誒,engineering.	但係呢,叫我同人傾計呢,我就口啞啞嘅.					
165	aa84br-42ba179948316d7ed848	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	d	hou2	True	1	熱衷	a	ADJ	jit6cung1	FC-R018_v.cha	17	XXA	噉就,誒,一般來講呢,都係好多歌手呢,好好熱衷啊,尤其是鍾意玩live嘅朋友喇,吓.	係啊.	係啊.					
166	aa84br-2f8fb15aceb9271daf98	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	1	養老	v	VERB	joeng5lou5	FC-R018_v.cha	114	XXA	譬如話係去養老嘅話呢,噉曼-曼撤斯特就唔係一個好好養老嘅地方來𡃉.	啊.	噉好多譬如話佢去咗英國其他嘅地區定居啊,或者係去咗倫敦啊譬如噉講喇.					
